File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
e01fea16-7426-4610-bd6d-3985a4c0bd00	9f925927-5638-4861-9df5-fb2a9124f48c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5HB	TCGA-PK-A5HB-01A	Primary Tumor
f9a97ce3-0ee8-4653-8aa2-0c1bb5e7268c	4414a69d-05c3-437d-83e2-efb95835726b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JR	TCGA-OR-A5JR-01A	Primary Tumor
bc13988f-9051-4f6d-86b5-8554b52defd2	025adeb7-dd68-47e3-b35c-0749e91304e7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JO	TCGA-OR-A5JO-01A	Primary Tumor
7069c2e2-9e61-45ba-9f14-75bd90b5d6ec	8026738f-cc73-4c9e-be15-28366f272caa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LN	TCGA-OR-A5LN-01A	Primary Tumor
674f8521-6181-49a9-b32c-729d83d0b8bd	4100a850-68a9-4bb9-ae91-dd63d64cb1aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K2	TCGA-OR-A5K2-01A	Primary Tumor
a4e2f740-30d3-4a7e-b2e4-cb7fa136bd84	ac40bee6-e98c-47fc-94c2-9b1cd0ed6142.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JC	TCGA-OR-A5JC-01A	Primary Tumor
f88e1f8e-3beb-4c67-9a03-c4bf2c1ad5f4	a99d8887-ea92-46c0-ba22-2d4f510390db.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LS	TCGA-OR-A5LS-01A	Primary Tumor
2b036c53-73cd-41b7-b4fb-3c4eb2a1949f	ed8186fc-f945-4483-8532-941c8d3a57fe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5LC	TCGA-OR-A5LC-01A	Primary Tumor
224fa76c-cf8d-48d8-8723-15907a04f2d2	a0169877-dd20-4c7d-826c-bb424199a036.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J6	TCGA-OR-A5J6-01A	Primary Tumor
40ea7b55-ce17-45d5-9094-f1c46bbff9d3	a03d4b08-f826-4216-878e-f8c818a3791c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K9	TCGA-OR-A5K9-01A	Primary Tumor
